Point	X	Y	Z
0	-122.551 cm	-42.667 cm	-62.608 cm
1	122.551 cm	-42.667 cm	-62.608 cm
2	0 cm	-42.667 cm	125.216 cm
3	0 cm	128 cm	0 cm
4	-64 cm	-66.846 cm	-98.088 cm
5	64 cm	-66.846 cm	-98.088 cm
6	128 cm	-66.846 cm	0 cm
7	64 cm	-66.846 cm	98.088 cm
8	-128 cm	-66.846 cm	0 cm
9	-64 cm	-66.846 cm	98.088 cm
10	-128 cm	22.282 cm	-65.392 cm
11	-64 cm	111.41 cm	-32.696 cm
12	128 cm	22.282 cm	-65.392 cm
13	64 cm	111.41 cm	-32.696 cm
14	0 cm	22.282 cm	130.784 cm
15	0 cm	111.41 cm	65.392 cm
16	0 cm	-128 cm	0 cm
17	0 cm	42.667 cm	-125.216 cm
18	122.551 cm	42.667 cm	62.608 cm
19	-122.551 cm	42.667 cm	62.608 cm
