Polygon	A	B	C	D
0	31	22	28	
1	41	42	37	
2	44	43	39	
3	29	28	27	
4	45	41	38	
5	23	32	29	
6	43	25	42	
7	32	33	29	
8	33	32	26	
9	44	24	25	
10	39	43	42	
11	41	39	42	
12	41	37	38	
13	31	28	29	
14	29	27	23	
15	33	26	34	
16	34	36	30	
17	34	26	36	
18	36	26	24	
19	36	24	44	
20	11	28	22	
21	12	15	3	
22	11	10	35	
23	40	32	23	
24	11	2	14	
25	51	26	32	
26	51	4	48	
27	50	25	24	
28	14	31	29	
29	3	47	35	
30	13	21	19	
31	17	34	30	
32	18	6	4	
33	48	24	26	
34	21	36	44	
35	0	46	52	
36	19	18	8	
37	46	1	49	
38	8	15	16	
39	7	41	45	
40	52	42	25	
41	47	15	40	
42	15	12	16	
43	49	38	37	
44	1	7	20	
45	5	9	6	
46	7	1	0	
47	9	5	7	
48	3	10	11	
49	35	27	28	
50	46	42	52	
51	40	8	51	
52	46	0	1	
53	47	3	15	
54	40	15	8	
55	48	4	6	
56	47	23	27	
57	51	8	4	
58	46	37	42	
59	50	6	9	
60	11	22	2	
61	12	3	11	
62	11	35	28	
63	40	23	47	
64	11	14	12	
65	51	32	40	
66	50	9	52	
67	50	24	48	
68	14	29	12	
69	3	35	10	
70	13	19	17	
71	17	30	13	
72	18	4	8	
73	48	26	51	
74	21	44	19	
75	0	52	9	
76	19	8	17	
77	48	6	50	
78	8	16	17	
79	7	45	20	
80	52	25	50	
81	47	27	35	
82	49	37	46	
83	5	6	19	
84	7	0	9	
