Point	X	Y	Z
0	-90 cm	80 cm	200 cm
1	-90 cm	8 cm	200 cm
2	-90 cm	8 cm	-200 cm
3	-90 cm	76.692 cm	-171.317 cm
4	-90 cm	130 cm	22 cm
5	-90 cm	40 cm	132 cm
6	-90 cm	130 cm	100 cm
7	-90 cm	30 cm	164 cm
8	-90 cm	90 cm	-42 cm
9	-90 cm	90 cm	165 cm
10	-90 cm	40 cm	-200 cm
11	-90 cm	19.468 cm	-191.697 cm
12	-90 cm	30 cm	-132 cm
13	-90 cm	0 cm	-68 cm
14	-90 cm	0 cm	-140 cm
15	-90 cm	83.45 cm	-116.82 cm
16	-90 cm	40 cm	-100 cm
17	-90 cm	30 cm	-68 cm
18	-90 cm	70 cm	100 cm
19	-90 cm	29.462 cm	100 cm
20	-90 cm	0 cm	164 cm
21	-90 cm	0 cm	100 cm
22	90 cm	8 cm	-200 cm
23	90 cm	76.692 cm	-171.317 cm
24	90 cm	130 cm	22 cm
25	90 cm	130 cm	100 cm
26	90 cm	90 cm	-42 cm
27	90 cm	40 cm	-200 cm
28	90 cm	19.468 cm	-191.697 cm
29	90 cm	30 cm	-132 cm
30	90 cm	0 cm	-68 cm
31	90 cm	0 cm	-140 cm
32	90 cm	83.45 cm	-116.82 cm
33	90 cm	40 cm	-100 cm
34	90 cm	30 cm	-68 cm
35	0 cm	40 cm	-200 cm
36	90 cm	0 cm	100 cm
37	90 cm	80 cm	200 cm
38	90 cm	8 cm	200 cm
39	90 cm	40 cm	132 cm
40	0 cm	83.45 cm	-120.82 cm
41	90 cm	30 cm	164 cm
42	90 cm	90 cm	165 cm
43	90 cm	70 cm	100 cm
44	90 cm	29.462 cm	100 cm
45	90 cm	0 cm	164 cm
46	0 cm	80 cm	200 cm
47	0 cm	76.692 cm	-175.316 cm
48	0 cm	130 cm	22 cm
49	0 cm	8 cm	200 cm
50	0 cm	130 cm	109.565 cm
51	0 cm	90 cm	-70.266 cm
52	0 cm	90 cm	174.565 cm
