Polygon	A	B	C	D
0	1	14	15	
1	2	15	16	
2	3	16	17	
3	4	17	18	
4	5	18	19	
5	6	19	20	
6	7	20	21	
7	8	21	22	
8	9	22	23	
9	10	23	24	
10	11	24	25	
11	12	25	14	
12	2	13	1	
13	3	13	2	
14	4	13	3	
15	5	13	4	
16	6	13	5	
17	7	13	6	
18	8	13	7	
19	9	13	8	
20	10	13	9	
21	11	13	10	
22	12	13	11	
23	1	13	12	
24	14	25	0	
25	14	0	15	
26	15	0	16	
27	16	0	17	
28	17	0	18	
29	0	19	18	
30	0	20	19	
31	0	21	20	
32	0	22	21	
33	0	23	22	
34	0	24	23	
35	0	25	24	
36	1	15	2	
37	2	16	3	
38	3	17	4	
39	4	18	5	
40	5	19	6	
41	6	20	7	
42	7	21	8	
43	8	22	9	
44	9	23	10	
45	10	24	11	
46	11	25	12	
47	12	14	1	
